"","Champ","Team","GoldEarned","Kills","Deaths","Assists","Win","totalDamageDealtToChampions","damageDealtToTurrets","visionScore","totalDamageTaken","turretKills","inhibitorKills","totalMinionsKilled","champLevel","wardsPlaced","firstBloodKill","firstBloodAssist","WRgeneral","WRchamp","Duration_secs","Position","Role"
"1","Garen",100,10913,3,13,6,"False",14015,0,24,38262,0,0,205,16,10,"False","False",0.6,0.5556,2157,"TOP","SOLO"
"2","Irelia",100,11004,10,3,3,"True",13895,6226,10,14749,3,0,162,13,6,"False","False",0.8,0.8824,1216,"MIDDLE","SOLO"
"3","Kayn",100,13191,10,8,15,"True",29583,2259,18,48254,0,0,33,16,3,"False","False",0.5667,0.8333,1949,"JUNGLE","NONE"
"4","Tristana",100,7025,2,6,3,"False",11439,793,21,15039,0,0,138,10,8,"False","False",0.4,0,1449,"BOTTOM","DUO_CARRY"
"5","Jhin",200,10867,4,4,8,"True",13623,800,12,11402,0,0,158,13,9,"False","False",0.4667,1,1675,"BOTTOM","DUO_CARRY"
"6","Sion",200,13949,6,7,8,"True",34755,10821,39,47226,5,0,255,18,17,"False","False",0.6333,1,2071,"TOP","SOLO"
"7","Zoe",100,11485,9,2,10,"True",18840,2849,24,18754,1,0,167,15,12,"True","False",0.6333,1,1560,"MIDDLE","SOLO"
"8","Azir",100,6600,2,2,4,"True",7118,1179,9,7520,1,1,119,11,7,"False","False",0.6667,0.76,1087,"NONE","DUO_SUPPORT"
"9","Jayce",200,9116,2,7,0,"False",10936,695,17,17996,0,0,198,14,8,"False","False",0.5333,0.5714,1633,"TOP","SOLO"
"10","Heimerdinger",200,11640,5,6,6,"False",23732,1048,22,16038,0,0,223,15,11,"False","False",0.4667,0.5,1584,"MIDDLE","SOLO"
"11","Camille",200,8104,6,8,0,"False",10415,0,15,17211,0,0,95,10,5,"False","False",0.3667,0.8889,1063,"NONE","DUO_SUPPORT"
"12","Syndra",100,10453,5,4,9,"False",12276,2803,21,11066,1,0,181,12,12,"False","False",0.5,0,1579,"TOP","DUO"
"13","Nidalee",200,10568,10,1,7,"True",13174,2861,46,20538,1,0,14,13,13,"False","False",0.5333,0.5455,1320,"JUNGLE","NONE"
"14","Mordekaiser",200,5170,1,1,2,"True",6271,1906,8,6228,0,0,99,9,6,"False","False",0.6333,0.5,690,"NONE","DUO_SUPPORT"
"15","Pyke",200,11279,9,0,5,"True",8053,965,19,10514,1,0,115,12,12,"True","False",0.4333,1,1212,"BOTTOM","DUO_CARRY"
"16","Taric",200,6349,0,5,11,"True",3088,806,39,13740,0,0,31,12,17,"False","False",0.5,1,1512,"BOTTOM","DUO_SUPPORT"
"17","Darius",200,8392,2,11,2,"False",10044,2757,12,28654,1,0,137,13,7,"True","False",0.5333,0.5,1600,"MIDDLE","DUO_SUPPORT"
"18","Qiyana",200,9827,5,6,8,"False",16441,0,48,24866,0,0,149,15,12,"False","False",0.6,0,1895,"MIDDLE","SOLO"
"19","RekSai",100,9117,2,8,6,"False",12228,0,35,28198,1,0,15,13,14,"True","False",0.2667,0.1818,1808,"JUNGLE","NONE"
"20","Varus",100,7989,4,5,0,"True",6926,3700,16,8333,1,0,147,13,8,"False","False",0.2667,0.5,1298,"MIDDLE","SOLO"
"21","Fiora",200,9028,3,4,4,"False",15134,2549,23,20069,0,0,161,14,8,"False","False",0.6667,0,1383,"TOP","SOLO"
"22","Syndra",200,12605,6,6,2,"False",20957,935,15,19880,1,0,222,15,8,"False","False",0.4667,0.7143,1598,"MIDDLE","SOLO"
"23","Gnar",100,11446,5,4,7,"True",16916,2724,24,20685,0,0,182,17,12,"False","False",0.5667,0.5,1689,"TOP","SOLO"
"24","Thresh",200,7221,0,3,16,"True",4692,3784,44,11910,1,0,27,12,21,"False","False",0.5,0.5714,1439,"BOTTOM","DUO_SUPPORT"
"25","Ezreal",100,9958,5,7,7,"True",15006,4424,15,15604,2,0,150,12,9,"False","False",0.4333,0.6667,1460,"BOTTOM","DUO_CARRY"
"26","Yasuo",100,14388,9,6,13,"True",24355,2049,31,25780,1,1,184,16,9,"False","False",0.5667,0.6154,1719,"TOP","DUO"
"27","Fiora",100,11482,4,8,6,"False",14326,3599,18,33035,3,0,181,15,7,"False","False",0.3333,0.3846,1694,"TOP","SOLO"
"28","Xerath",100,9512,6,8,9,"False",20091,1218,14,14503,0,0,123,13,8,"False","False",0.6667,0.6,1523,"MIDDLE","SOLO"
"29","Xayah",100,11165,6,12,3,"False",15926,731,13,21799,0,0,174,14,6,"False","False",0.4333,0,1711,"BOTTOM","DUO_CARRY"
"30","Ornn",200,7395,1,6,1,"False",9208,3324,18,17129,1,0,147,12,8,"False","False",0.5,0.5,1258,"TOP","SOLO"
"31","Jhin",200,9524,1,5,10,"True",10841,1790,15,14758,0,0,158,14,7,"False","False",0.5,0.5,1630,"BOTTOM","DUO_CARRY"
"32","Caitlyn",200,15818,13,3,10,"True",32467,9083,21,13219,4,1,195,15,9,"False","False",0.7333,0.75,1685,"BOTTOM","SOLO"
"33","Jhin",100,14017,9,4,13,"True",24649,7728,31,14479,1,0,202,15,13,"False","False",0.7333,0.7333,1847,"BOTTOM","DUO_CARRY"
"34","MasterYi",100,1482,0,3,0,"False",942,0,3,2869,0,0,1,2,2,"False","False",0.2667,0,546,"NONE","DUO"
"35","Garen",100,7871,4,7,1,"False",10758,223,4,19379,0,0,119,12,5,"False","False",0.5333,0,1319,"TOP","SOLO"
"36","Vladimir",200,12334,6,5,8,"True",23837,5121,24,32741,1,0,225,17,8,"False","False",0.5,0.1667,1843,"MIDDLE","SOLO"
"37","Morgana",100,6429,1,5,6,"False",4944,1825,67,10931,0,0,40,10,38,"False","False",0.5333,0,1501,"BOTTOM","DUO_SUPPORT"
"38","Aphelios",200,14899,10,9,10,"True",34454,7030,42,19531,2,0,205,16,12,"True","False",0.6,0.5714,1855,"BOTTOM","DUO_CARRY"
"39","Kaisa",200,6799,0,4,3,"False",7310,1780,14,9260,1,0,145,10,10,"False","False",0.4667,0.5455,1250,"BOTTOM","DUO_CARRY"
